metric,mean,std
alpha_0.7_R@5,0.7660008440005627,0.004103919085898556
alpha_0.7_NDCG@5,0.6696218779343208,0.003658393083499017
alpha_0.7_mAP@5,0.6263311813272691,0.003819971593706127
alpha_0.7_R@10,0.829617386411591,0.0051711379207048805
alpha_0.7_NDCG@10,0.6755873856257826,0.0038415974593933072
alpha_0.7_mAP@10,0.6004004914899357,0.0037706189930365184
alpha_0.7_R@15,0.858612322408215,0.004271027933562151
alpha_0.7_NDCG@15,0.6727935657566662,0.0033604305208049393
alpha_0.7_mAP@15,0.5783776225191921,0.003425752437484011
alpha_0.85_R@5,0.7630292586861724,0.004403332100116668
alpha_0.85_NDCG@5,0.6683376844492753,0.004198108647541687
alpha_0.85_mAP@5,0.6255700422781763,0.004248530836638395
alpha_0.85_R@10,0.8249753833169222,0.004988053374866863
alpha_0.85_NDCG@10,0.6735245623438253,0.003981234330544537
alpha_0.85_mAP@10,0.5987994536563628,0.003859753950378388
alpha_0.85_R@15,0.8564671543114362,0.004448783209631013
alpha_0.85_NDCG@15,0.6717254605436157,0.003516517146600504
alpha_0.85_mAP@15,0.577485970877998,0.0033461890823219273
